"","Date","Time","Receipt.number","Name","Variant","Unit","Quantity","Price..GBP.","Discount..GBP.","Final.price..GBP."
"31",2017-08-01,2017-08-20 08:15:00,7378,"Milk Alternatives","Coconut",NA,1,0.5,0,0.5
"32",2017-08-01,2017-08-20 08:15:00,7379,"Americano","",NA,1,2.5,0,2.5
"33",2017-08-01,2017-08-20 08:15:00,7379,"Almond Croissant TA","Take Away",NA,1,2,0,2
"34",2017-08-01,2017-08-20 08:17:00,7380,"Flat White","",NA,2,5.4,0,5.4
"35",2017-08-01,2017-08-20 08:17:00,7381,"Espresso","",NA,1,2,0,2
"36",2017-08-01,2017-08-20 08:17:00,7381,"Extra Shot","Extra shot",NA,1,0.2,0,0.2
"37",2017-08-01,2017-08-20 08:20:00,7382,"Cappuccino","",NA,1,2.7,0,2.7
"38",2017-08-01,2017-08-20 08:22:00,7383,"Latte","",NA,1,2.9,0,2.9
"39",2017-08-01,2017-08-20 08:24:00,7384,"Flat White","",NA,1,2.7,0,2.7
"40",2017-08-01,2017-08-20 08:29:00,7385,"Flat White","",NA,1,2.7,0,2.7
"41",2017-08-01,2017-08-20 08:29:00,7385,"Flapjack TA","",NA,1,2,0,2
"42",2017-08-01,2017-08-20 08:31:00,7386,"Brownie TA","",NA,1,2.2,0,2.2
"43",2017-08-01,2017-08-20 08:31:00,7386,"Americano","",NA,1,2.5,0,2.5
"44",2017-08-01,2017-08-20 08:33:00,7387,"Cappuccino","",NA,1,2.7,0,2.7
"45",2017-08-01,2017-08-20 08:33:00,7388,"Latte","",NA,1,2.9,0,2.9
"46",2017-08-01,2017-08-20 08:39:00,7389,"Americano","",NA,1,2.5,0,2.5
"47",2017-08-01,2017-08-20 08:40:00,7390,"Flat White","",NA,2,5.4,0,5.4
"48",2017-08-01,2017-08-20 08:43:00,7391,"Macchiato","",NA,1,2.2,0,2.2
"49",2017-08-01,2017-08-20 08:43:00,7391,"Extra Shot","Extra shot",NA,1,0.2,0,0.2
"50",2017-08-01,2017-08-20 08:45:00,7392,"Latte","",NA,1,2.9,0,2.9
"51",2017-08-01,2017-08-20 08:45:00,7392,"Flapjack TA","",NA,1,2,0,2
"52",2017-08-01,2017-08-20 08:53:00,7393,"Flat White","",NA,1,2.7,0,2.7
"53",2017-08-01,2017-08-20 08:53:00,7393,"Daily Dose","Piccolo",NA,1,3.9,0,3.9
"54",2017-08-01,2017-08-20 08:54:00,7394,"Espresso","",NA,1,2,0,2
"55",2017-08-01,2017-08-20 08:54:00,7394,"Extra Shot","Extra shot",NA,1,0.2,0,0.2
"56",2017-08-01,2017-08-20 08:58:00,7395,"Flat White","",NA,1,2.7,0,2.7
"57",2017-08-01,2017-08-20 08:58:00,7395,"Milk Alternatives","Oatly",NA,1,0.5,0,0.5
"58",2017-08-01,2017-08-20 09:00:00,7396,"Cappuccino","",NA,1,2.7,0,2.7
"59",2017-08-01,2017-08-20 09:05:00,7397,"Latte","",NA,1,2.9,0,2.9
"60",2017-08-01,2017-08-20 09:05:00,7397,"Croissant TA","Take Away",NA,1,1.5,0,1.5
"61",2017-08-01,2017-08-20 09:13:00,7398,"Flat White","",NA,1,2.7,0,2.7
"62",2017-08-01,2017-08-20 09:13:00,7398,"Salmon bagel TA","",NA,1,3.7,0,3.7
"63",2017-08-01,2017-08-20 09:13:00,7398,"Flapjack TA","",NA,1,2,0,2
"64",2017-08-01,2017-08-20 09:15:00,7399,"Latte","",NA,1,2.9,0,2.9
"65",2017-08-01,2017-08-20 09:18:00,7400,"Flat White","",NA,1,2.7,0,2.7
"66",2017-08-01,2017-08-20 09:20:00,7401,"Flat White","",NA,1,2.7,0,2.7
"67",2017-08-01,2017-08-20 09:22:00,7402,"Cappuccino","",NA,1,2.7,0,2.7
"68",2017-08-01,2017-08-20 09:24:00,7403,"Espresso","",NA,1,2,0.3,1.7
"69",2017-08-01,2017-08-20 09:24:00,7404,"Flat White","",NA,1,2.7,0,2.7
"70",2017-08-01,2017-08-20 09:35:00,7405,"Tea","",NA,1,2.5,0,2.5
"71",2017-08-01,2017-08-20 09:35:00,7405,"Toast","Bacon",NA,1,4.5,0,4.5
"72",2017-08-01,2017-08-20 09:40:00,7406,"Flat White","",NA,1,2.7,0,2.7
"73",2017-08-01,2017-08-20 09:53:00,7407,"Americano","",NA,2,5,0,5
"74",2017-08-01,2017-08-20 09:53:00,7407,"Pain Au Choc TA","Take Away",NA,1,2,0,2
"75",2017-08-01,2017-08-20 10:14:00,7408,"Americano","",NA,2,5,0,5
"76",2017-08-01,2017-08-20 10:14:00,7408,"Toast","Bacon",NA,2,9,0,9
"77",2017-08-01,2017-08-20 10:36:00,7409,"Cappuccino","",NA,2,5.4,0,5.4
"78",2017-08-01,2017-08-20 10:42:00,7410,"Latte","",NA,1,2.9,0,2.9
"79",2017-08-01,2017-08-20 10:42:00,7411,"Latte","",NA,1,2.9,0,2.9
"80",2017-08-01,2017-08-20 11:16:00,7412,"Latte","",NA,1,2.9,0,2.9
"81",2017-08-01,2017-08-20 11:22:00,7413,"Americano","",NA,2,5,0,5
"82",2017-08-01,2017-08-20 11:24:00,7414,"Tea","",NA,1,2.5,0,2.5
"83",2017-08-01,2017-08-20 11:24:00,7414,"Iced Coffee TA","Americano",NA,1,2.7,0,2.7
"84",2017-08-01,2017-08-20 11:30:00,7415,"Mocha","",NA,1,3.1,0,3.1
"85",2017-08-01,2017-08-20 11:49:00,7416,"Cappuccino","",NA,1,2.7,0,2.7
"86",2017-08-01,2017-08-20 11:49:00,7416,"Extra Shot","Extra shot",NA,1,0.2,0,0.2
"87",2017-08-01,2017-08-20 12:02:00,7417,"Flat White","",NA,1,2.7,0,2.7
"88",2017-08-01,2017-08-20 12:02:00,7417,"Milk Alternatives","Soy",NA,1,0.5,0,0.5
"89",2017-08-01,2017-08-20 12:33:00,7418,"Cappuccino","",NA,1,2.7,0,2.7
"90",2017-08-01,2017-08-20 12:33:00,7418,"Pain Au Choc TA","Take Away",NA,1,2,0,2
"91",2017-08-01,2017-08-20 12:48:00,7419,"Wrap TA","Chicken",NA,1,3.5,0,3.5
"92",2017-08-01,2017-08-20 13:12:00,7420,"Flat White","",NA,1,2.7,0,2.7
"93",2017-08-01,2017-08-20 13:12:00,7420,"Toast","Bacon",NA,1,4.5,0,4.5
"94",2017-08-01,2017-08-20 13:12:00,7420,"Cake TA","Carrot",NA,1,2.8,0,2.8
"95",2017-08-01,2017-08-20 13:18:00,7421,"Flat White","",NA,1,2.7,0,2.7
"96",2017-08-01,2017-08-20 13:30:00,7422,"Iced Coffee TA","Americano",NA,1,2.7,0,2.7
"97",2017-08-01,2017-08-20 13:41:00,7423,"Americano","",NA,1,2.5,0,2.5
"98",2017-08-01,2017-08-20 14:00:00,7424,"Americano","",NA,1,2.5,0,2.5
"99",2017-08-01,2017-08-20 14:00:00,7424,"Almond Croissant TA","Take Away",NA,1,2,0,2
"100",2017-08-01,2017-08-20 14:05:00,7425,"Macchiato","",NA,1,2.2,0.33,1.87
"101",2017-08-01,2017-08-20 14:05:00,7425,"Salmon bagel TA","",NA,1,3.7,0.56,3.14
"102",2017-08-01,2017-08-20 14:05:00,7425,"Biscotto","",NA,2,2,0.3,1.7
"103",2017-08-01,2017-08-20 14:43:00,7426,"Pain Au Choc TA","Take Away",NA,1,2,0,2
"104",2017-08-01,2017-08-20 14:44:00,7427,"Pain Au Choc TA","Take Away",NA,1,2,0,2
"105",2017-08-01,2017-08-20 14:44:00,7428,"Cappuccino","",NA,1,2.7,0,2.7
"106",2017-08-01,2017-08-20 14:44:00,7428,"Wrap TA","Chicken",NA,1,3.5,0,3.5
"107",2017-08-01,2017-08-20 14:45:00,7429,"Pain Au Choc TA","Take Away",NA,-1,-2,0,-2
"108",2017-08-01,2017-08-20 14:49:00,7430,"Iced Coffee TA","Latte",NA,1,3.1,0,3.1
"109",2017-08-01,2017-08-20 16:15:00,7431,"Americano","",NA,1,2.5,0,2.5
